new_customer_Id
0,12441
1,12686
2,12738
3,12961
4,13011
5,13254
6,13747
7,13955
8,14119
9,14491
10,14576
11,14589
12,14721
13,14865
14,15018
15,15020
16,15048
17,15212
18,15304
19,15495
20,15540
21,15545
22,15583
23,15894
24,15899
25,15914
26,15923
27,15987
28,16356
29,16402
30,16473
31,16552
32,16752
33,16874
34,17026
35,17170
36,17181
37,17283
38,17339
39,17378
40,17468
41,17516
42,17556
43,17723
44,17816
45,17820
46,17826
47,17855
48,17912
49,17925
50,17967
51,17989
52,18002
53,18113
54,18119
55,18156
56,18161
57,18269
